MEASUREMENT	TDC 1	CH	TDC 2	CH	MEAN	RMS	NOTE
=====================================================================================
0		c008	0	c004	0	3.084	0.045	180 Phase shift DC-DC
		c008 	1 	c004	1	5.532	0.047
		c008 	3 	c004	3	5.632	0.044
		c008 	5 	c004	5	5.735	0.041
		c008 	7 	c004	7	5.759	0.042
		c008 	9 	c004	9	5.352	0.047
		c008	11	c004	11	5.449	0.043	Typical Channel
		c008 	13	c004	13	5.429	0.042
		c008	15	c004	15	5.588	0.040
		c008	17	c004	17	5.319	0.044
		c008	19	c004	19	5.391	0.043
		c008	21	c004	21	5.415	0.043
		c008	23	c004	23	5.275	0.062	Worst Channel
		c008	25	c004	25	5.173	0.044
		c008	27	c004	27	5.202	0.048
		c008	29	c004	29	5.191	0.037	Best Channel
		c008	31	c004	31	5.239	0.039

1		c008	0	c004	0	-1.917	0.017	0 Phase shift DC-DC
		c008	1 	c004	1 	0.533	0.017
		c008	3 	c004	3 	0.628	0.016
		c008	5 	c004	5 	0.736	0.016
		c008	7 	c004	7 	0.756	0.016
		c008	9 	c004	9 	0.353	0.017
		c008	11	c004	11	0.446	0.016
		c008	13	c004	13	0.430	0.016
		c008	15	c004	15	0.589	0.016
		c008	17	c004	17	0.321	0.016
		c008	19	c004	19	0.389	0.016
		c008	21	c004	21	0.412	0.017
		c008	23	c004	23	0.275	0.021
		c008	25	c004	25	0.174	0.015
		c008	27	c004	27	0.202	0.016
		c008	29	c004	29	0.191	0.015
		c008	31	c004	31	0.237	0.015

2		c008	0 	c004	0 	-1.920	0.018
		c008	1 	c004	1 	0.528	0.019
		c008	3 	c004	3 	0.632	0.018
		c008	5 	c004	5 	0.737	0.017
		c008	7 	c004	7 	0.759	0.018
		c008	9 	c004	9 	0.349	0.019
		c008	11	c004	11	0.449	0.017
		c008	13	c004	13	0.430	0.017
		c008	15	c004	15	0.591	0.017
		c008	17	c004	17	0.317	0.017
		c008	19	c004	19	0.390	0.018
		c008	21	c004	21	0.415	0.019
		c008	23	c004	23	0.275	0.024
		c008	25	c004	25	0.171	0.017
		c008	27	c004	27	0.202	0.018
		c008	29	c004	29	0.191	0.016
		c008	31	c004	31	0.239	0.016

3		c008	0 	c004	0 	-1.917	0.018
		c008	1 	c004	1 	0.531	0.019
		c008	3 	c004	3 	0.636	0.018
		c008	5 	c004	5 	0.739	0.017
		c008	7 	c004	7 	0.762	0.018
		c008	9 	c004	9 	0.353	0.019
		c008	11	c004	11	0.453	0.017
		c008	13	c004	13	0.431	0.017
		c008	15	c004	15	0.591	0.017
		c008	17	c004	17	0.320	0.017
		c008	19	c004	19	0.391	0.017
		c008	21	c004	21	0.418	0.018
		c008	23	c004	23	0.275	0.023
		c008	25	c004	25	0.175	0.017
		c008	27	c004	27	0.203	0.018
		c008	29	c004	29	0.191	0.015
		c008	31	c004	31	0.244	0.016

4		c008	0 	c004	0 	3.081	0.018
